tc_id,name,n_runs,mean_r,std_r,min_r,max_r
TC1,星形圖（無權重）,5,0.8727,0.0128,0.8557,0.8909
TC2,K3 三角形（幾何阻挫）,5,0.9988,0.0013,0.9971,1.0
TC3,帶權重圖（資料中心）,5,0.7075,0.0098,0.6949,0.7223
TC4,分離子圖（連通性警告）,5,0.9961,0.0064,0.9849,1.0
